Hostname, Req_cnt, Dist_Req_Cnt, high_req_cnt_single_domain, avg_req_per_min, high_req_per_min, cnt_query_mx, cnt_query_ptr, dist_dns_server, dist_tld, dist_sld, uniqueness_ratio, res_failed, dist_city_cnt, dist_country_cnt, flux_ratio
172.31.157.164_trafic,35,16,13,0,11,0,0,1,2,7,2,0,0,0,0
172.31.5.40_trafic,21,4,8,3,7,0,0,1,1,3,5,0,0,0,0
172.31.157.166_trafic,8278,237,938,140,364,0,0,1,14,101,34,0,0,0,0
172.31.111.237_trafic,167,84,11,5,43,0,0,1,10,38,1,0,0,0,0
172.31.157.161_trafic,180,95,17,3,43,0,0,1,8,35,1,0,0,0,0
172.31.157.165_trafic,153,83,7,5,32,0,0,1,6,36,1,0,0,0,0
172.31.154.254_trafic,3,2,2,3,1,0,0,1,1,2,1,0,0,0,0
172.31.245.142_trafic,103,33,16,7,15,0,7,1,4,13,3,0,1,1,0
172.31.245.144_trafic,185,66,23,3,21,0,0,1,7,34,2,0,1,1,0
172.31.245.146_trafic,311,73,144,8,33,0,0,1,10,32,4,0,1,1,0
172.31.148.4_trafic,288,146,10,5,66,0,0,1,8,52,1,0,0,0,0
172.31.153.223_trafic,192,73,24,3,17,0,0,1,2,14,2,0,0,0,0
172.31.236.79_trafic,152,21,73,6,19,0,0,1,4,13,7,0,1,1,0
172.31.248.65_trafic,280,90,26,4,31,0,0,1,16,32,3,0,1,1,0
172.31.236.171_trafic,152,81,5,3,36,0,0,1,3,25,1,0,1,1,0
172.31.153.224_trafic,24,10,6,0,6,0,0,1,2,5,2,0,0,0,0
172.31.236.73_trafic,114,23,22,1,6,0,0,1,5,7,4,0,1,1,0
172.31.153.229_trafic,49,19,12,4,14,0,0,1,3,8,2,0,0,0,0
172.31.153.228_trafic,37,14,20,1,4,0,0,1,2,5,2,0,0,0,0
172.31.234.108_trafic,1256,409,74,21,374,0,22,1,10,137,3,0,1,1,0
172.31.234.109_trafic,46,24,7,1,9,0,0,1,2,14,1,0,1,1,0
172.31.168.183_trafic,24,20,2,24,13,0,0,1,2,12,1,0,1,1,0
172.31.106.15_trafic,146,67,15,5,30,0,0,1,7,20,2,0,0,0,0
172.31.224.102_trafic,4,1,4,4,4,0,0,1,1,1,4,0,1,1,0
172.31.234.102_trafic,183,21,41,3,15,0,0,1,3,8,8,0,1,1,0
172.31.158.93_trafic,16,10,3,8,14,0,0,1,2,4,1,0,0,0,0
172.31.250.252_trafic,650,199,25,11,48,0,118,1,18,62,3,0,1,1,0
172.31.252.11_trafic,20,7,9,0,5,0,0,1,1,5,2,0,1,1,0
172.31.234.107_trafic,6,5,2,6,4,0,0,1,3,4,1,0,1,1,0
172.31.123.27_trafic,430,127,52,7,34,0,0,1,4,38,3,0,0,0,0
172.31.254.143_trafic,27,14,6,0,6,0,0,1,2,10,1,0,1,1,0
172.31.111.19_trafic,220,107,19,9,41,0,0,1,4,45,2,0,0,0,0
172.31.123.23_trafic,44,27,9,2,17,0,0,1,3,12,1,0,0,0,0
172.31.237.75_trafic,113,44,15,1,23,0,0,1,3,22,2,0,1,1,0
172.31.240.239_trafic,186,62,16,3,36,0,0,1,3,20,3,0,1,1,0
172.31.237.77_trafic,196,40,30,3,15,0,0,1,3,17,4,0,1,1,0
172.31.224.56_trafic,4,1,4,4,4,0,0,1,1,1,4,0,1,1,0
172.31.146.105_trafic,233,129,5,13,50,0,0,1,9,47,1,0,0,0,0
172.31.111.17_trafic,80,43,8,4,34,0,0,1,7,22,1,0,0,0,0
172.31.240.232_trafic,9,6,3,0,3,0,0,1,2,3,1,0,1,1,0
172.31.111.14_trafic,11,9,2,11,6,0,0,1,1,7,1,0,0,0,0
172.31.234.31_trafic,7,6,2,1,3,0,0,1,2,5,1,0,1,1,0
172.31.159.171_trafic,91,41,7,3,25,0,0,1,10,15,2,0,0,0,0
172.31.234.33_trafic,40,13,6,13,13,0,0,1,3,9,3,0,1,1,0
172.31.234.32_trafic,171,53,30,2,16,0,0,1,5,28,3,0,1,1,0
172.31.234.39_trafic,26,19,2,1,10,0,0,1,2,8,1,0,1,1,0
172.31.244.11_trafic,57,35,5,14,29,0,0,1,6,26,1,0,1,1,0
172.31.235.167_trafic,43,7,9,5,8,0,0,1,2,5,6,0,1,1,0
172.31.235.165_trafic,86,31,10,1,13,0,0,1,8,11,2,0,1,1,0
172.31.158.99_trafic,190,39,21,4,49,0,14,1,7,25,4,0,0,0,0
172.31.228.95_trafic,24,4,11,0,5,0,0,1,2,4,6,0,0,0,0
